N,MASCHIO,UNISEX,FEMMINA
163,,"Fai una critica fisica, caratteriale o comportamentale ad ogni giocatore",
164,,"Che ore sono? Se l'orario è compreso tra le 01:00 e le 21:00 saltate alla prossima sfida, se l'orario è compreso tra le 21:00 e le 23:00 allora bevete tutti x1/2, se l'orario è compreso tra 23:00 e 01:00 bevete tutti x1",
165,,Con la persona persona più vicina a te guardatevi intensamente negli occhi se uno dei due sorride o ride entro 1 minuto beve x1!,
166,,"Scegli tra obbligo o verità. La persona più distante da te sceglie la domanda o l'obbligo da farti fare, puoi rifiutarti bevendo x1!",
167,,"Quanti abitanti ha Alberobello (provincia di Bari)? Aiuto da casa: per avere un merito di paragone puoi chiedere agli altri giocatori di cercare e dirti la quantità di abitanti presenti in una sola altra città italiana, se indovini in un range massimo di 5.000 persone la prossima volta che dovrai bere dimezzerai la tua bevuta",
168,,"Quanti abitanti ha Olbia (provincia di Sassari)? Aiuto da casa: per avere un merito di paragone puoi chiedere agli altri giocatori di cercare e dirti la quantità di abitanti presenti in una sola altra città italiana, se indovini in un range massimo di 10.000 persone la prossima volta che dovrai bere dimezzerai la tua bevuta",
169,,"Quanti abitanti ha Catania? Aiuto da casa: per avere un merito di paragone puoi chiedere agli altri giocatori di cercare e dirti la quantità di abitanti presenti in una sola altra città italiana, se indovini in un range massimo di 30.000 persone la prossima volta che dovrai bere dimezzerai la tua bevuta",
170,,"Quanti abitanti ha Roma? Aiuto da casa: per avere un merito di paragone puoi chiedere agli altri giocatori di cercare e dirti la quantità di abitanti presenti in una sola altra città italiana, se indovini in un range massimo di 250.000 di persone la prossima volta che dovrai bere dimezzerai la tua bevuta",
171,,"Quanti abitanti ha lo stato di San Marino? Aiuto da casa: per avere un merito di paragone puoi chiedere agli altri giocatori di cercare e dirti la quantità di abitanti presenti in una sola altra città italiana, se indovini in un range massimo di 5.000 persone la prossima volta che dovrai bere dimezzerai la tua bevuta",
172,,"Quanti abitanti ha lo stato del Vaticano? Aiuto da casa: per avere un merito di paragone puoi chiedere agli altri giocatori di cercare e dirti la quantità di abitanti presenti in una sola altra città italiana, se indovini in un range massimo di 100 persone la prossima volta che dovrai bere dimezzerai la tua bevuta",
173,,"Quanti abitanti ha Cuneo? Aiuto da casa: per avere un merito di paragone puoi chiedere agli altri giocatori di cercare e dirti la quantità di abitanti presenti in una sola altra città italiana, se indovini in un range massimo di 5.000 persone la prossima volta che dovrai bere dimezzerai la tua bevuta",
174,,"Quanti abitanti ha Treviso? Aiuto da casa: per avere un merito di paragone puoi chiedere agli altri giocatori di cercare e dirti la quantità di abitanti presenti in una sola altra città italiana, se indovini in un range massimo di 15.000 persone la prossima volta che dovrai bere dimezzerai la tua bevuta",
175,,"Quanti abitanti ha Bologna? Aiuto da casa: per avere un merito di paragone puoi chiedere agli altri giocatori di cercare e dirti la quantità di abitanti presenti in una sola altra città italiana, se indovini in un range massimo di 50.000 persone la prossima volta che dovrai bere dimezzerai la tua bevuta",
176,,"Quanti abitanti ha Pescara? Aiuto da casa: per avere un merito di paragone puoi chiedere agli altri giocatori di cercare e dirti la quantità di abitanti presenti in una sola altra città italiana, se indovini in un range massimo di 30.000 persone la prossima volta che dovrai bere dimezzerai la tua bevuta",
177,,"Quanti abitanti ha Tokyo (capitale del Giappone)? Aiuto da casa: per avere un merito di paragone puoi chiedere agli altri giocatori di cercare e dirti la quantità di abitanti presenti in una sola altra città, se indovini in un range massimo di 500.000 persone la prossima volta che dovrai bere dimezzerai la tua bevuta",
178,,"Quanti abitanti ha Berlino (capitale della Germania? Aiuto da casa: per avere un merito di paragone puoi chiedere agli altri giocatori di cercare e dirti la quantità di abitanti presenti in una sola altra città, se indovini in un range massimo di 250.000 persone la prossima volta che dovrai bere dimezzerai la tua bevuta",
179,,"Quanti abitanti ha Chicago (capitale dell'Illinois)? Aiuto da casa: per avere un merito di paragone puoi chiedere agli altri giocatori di cercare e dirti la quantità di abitanti presenti in una sola altra città, se indovini in un range massimo di 250.000 persone la prossima volta che dovrai bere dimezzerai la tua bevuta",
180,,"Quanti abitanti ha Città Del Messico (capitale del Messico)? Aiuto da casa: per avere un merito di paragone puoi chiedere agli altri giocatori di cercare e dirti la quantità di abitanti presenti in una sola altra città, se indovini in un range massimo di 500.000 persone la prossima volta che dovrai bere dimezzerai la tua bevuta",
181,,"Quanti abitanti ha Luanda (capitale dell'Angola)? Aiuto da casa: per avere un merito di paragone puoi chiedere agli altri giocatori di cercare e dirti la quantità di abitanti presenti in una sola altra città, se indovini in un range massimo di 250.000 persone la prossima volta che dovrai bere dimezzerai la tua bevuta",
182,,"Quanti abitanti ha Nuova Delhi (capitale dell'India)? Aiuto da casa: per avere un merito di paragone puoi chiedere agli altri giocatori di cercare e dirti la quantità di abitanti presenti in una sola altra città, se indovini in un range massimo di 3milioni persone la prossima volta che dovrai bere dimezzerai la tua bevuta",
183,,Quanti abitanti abitano stabilmente il Polo Sud? Se indovini in un range di 200 persone la prossima volta che dovrai bere dimezzerai la tua bevuta,
184,,Quanti abitanti abitano stabilmente il Polo Nord? Se indovini in un range di 500.000 persone la prossima volta che dovrai bere dimezzerai la tua bevuta,
185,,Per i prossimi 5 turni ogni volta che vorrai parlare ti dovrai alzare in piedi,
186,,"Se qualcuno si vuole togliere un indumento per il resto del gioco in cambio di distribuire a tutti gli altri giocatori una bevuta pari a x3 questa è la sfida che fa per voi! (Vietati indumenti a coppia come scarpe, calze, ecc.)",
187,,Chi non ha mai un trillo con MSN beve x1!,
188,,Se fumi offri una sigaretta a tutti i giocatori che ne vogliono una.,
189,,Bevi x1/2 per ogni A presente nel tuo nome!,
190,,Bevi x1/2 per ogni E presente nel tuo nome!,
191,,Bevi x1/2 per ogni I presente nel tuo nome!,
192,,Bevi x1/2 per ogni O presente nel tuo nome!,
193,,Bevi x1/2 per ogni U presente nel tuo nome e nel tuo cognome!,
194,,"Il giocatore più basso beve x1, così cresci.",
195,,Non importa quanto sia pieno... finisci il tuo bicchiere.,
196,,Fai il ballo del robot per 15 secondi con musica dance in sottofondo,
197,,Se non vivi più con i tuoi bevi x1!,
198,,Per i prossimi 5 minuti ogni volta che dovrai parlare dovrai farlo sussurrando all'orecchio di un altro giocatore,
199,,La prossima volta che dovrai bere non potrai usare le mani (Puoi farti aiutare da un altro giocatore),
200,,"Commenta il primo post che trovi sulla bacheca di Instagram oppure bevi x1! ",
201,,Rispondi alla prima storia che trovi sula bacheca di Instagram o bevi x1!,
202,,Per i prossimi 5 turni parlerai con un accento snob,
203,,Leggici l'ultimo messaggio che hai inviato alla quinta conversazione su Whatsapp in ordine partendo dall'alto e spiegane il motivo o bevi x1!,
204,,Leggici l'ultimo messaggio che hai inviato alla sesta conversazione su Whatsapp e spiegane il motivo o bevi x1!,
205,,Leggici l'ultimo messaggio che hai inviato alla quarta conversazione su Whatsapp e spiegane il motivo o bevi x1!,
206,,Leggici l'ultimo messaggio che hai inviato alla ventesima conversazione su Whatsapp e spiegane il motivo o bevi x1!,
207,,"Partendo da te in senso orario dovrete dire un sinonimo della parola ""sfida"", finché un giocatore non ripeterà un sinonimo già detto o non avrà più idee e dovrà bere x1/2!",
208,,Bevi un cucchiaio di olio o bevi x1,
209,,Bevi un cucchiaio di aceto o bevi x1!,
210,,Mangia un uovo crudo dal guscio o bevi x1!,
211,,"Simula con un altro giocatore scelto da te una battaglia laser per 10 secondi, riproducendo gli effetti sonori",
212,,Fischietta una canzone finché qualcuno non la riconosce. Se non sai fischiare o dopo vari tentativi nessuno indovina nessuna canzone che stai fischiettando bevi x1!,
213,,"Entra ed esci dalla stanza come fossi una modella in una sfilata di moda, gli altri giocatori si dispongono ai lati della passerella immaginaria come fossero realmente ad una sfilata di moda",
214,,Siediti sotto al tavolo per i prossimi 5 turni,
215,,Appoggia la testa sulla spalla del giocatore più prossimo alla tua sinistra per 5 minuti,
216,,Sai muovere le orecchie senza toccartele? Facci vedere!,
217,,Indossa una tua scarpa come fosse un guanto per i prossimi 5 turni,
218,,Facci vedere un tuo sguardo sexy,
219,,Fai due giri del tavolo a quattro zampe o bevi x1,
220,,Bendatevi tutti e disegnate una zebra su un foglietto avete 40 secondi di tempo poi votate il migliore,
221,,Bendatevi tutti e disegnate un elicottero su un foglietto avete 45 secondi di tempo poi votate il migliore,
222,,Bendati e disegna un neonato che beve dal biberon su un foglietto hai 45 secondi di tempo,
223,,Bendati e disegna un elefante in equilibrio su un pallone da circo su un foglietto hai 45 secondi di tempo,
224,,Bendatevi tutti e disegnate un grattacielo su un foglietto avete 45 secondi di tempo poi votate il migliore,
225,,Bendati e disegna una strega che mescola il suo calderone su un foglietto hai 45 secondi di tempo,
226,,"Ordinate una pizza a domicilio e dividetevela, ve lo siete meritato!",
227,,Per i prossimi 3 turni comportati come una persona dell'età come la tua ma con i numeri invertiti (Es. Se hai 18 anni inverti i numeri quindi comportati come avessi 81 anni),
228,,"Hai 30 secondi per scrivere ""barbari"" tramite messaggio su WhatsApp ad un altro dei giocatore usando solo il naso, se non ce la fai  bevi x1",
229,,"Hai 30 secondi per scrivere ""Estonia"" tramite messaggio su WhatsApp ad un altro dei giocatore usando solo il naso, se non ce la fai  bevi x1",
230,,"Hai 30 secondi per scrivere ""0123456789"" tramite messaggio su WhatsApp ad un altro dei giocatore usando solo il naso, se non ce la fai bevi x1",
231,,Verità! Hai mai pianto vedendo un film?,
232,,"Partendo da te in senso orario dovrete dire un sinonimo di ""voler bene"", finché un giocatore non ripeterà un sinonimo già detto o non avrà più idee e dovrà bere x1/2!",
233,,"Se le tue scarpe hanno i lacci, lega i lacci delle tue scarpe tra loro, potrai tornare alla normalità solo quando berrai un x1 o più oppure quando l'esecuzione di una sfida ti impedisce la sua corretta esecuzione",
234,,Verità! Hai mai sboccato per colpa dell'alcool? Se sì quante volte?,
235,,Cerca la tua immagine più vecchia che hai pubblicato su Facebook o su Instagram falla vedere a tutti i giocatori altrimenti bevi x1/2!,
236,,"Partendo da te in senso orario dovrete dire un sinonimo della parola ""odiare"", finché un giocatore non ripeterà un sinonimo già detto o non avrà più idee e dovrà bere x1/2!",
237,,Verità! Raccontaci di una tua paura,
238,,Verità! Sei mai scappato di casa?,
239,,Verità! Sei mai scappato senza pagare?,
240,,Ora sei un manager musicale! Da ora in poi scegli tu la musica ma deve essere di un solo artista!,
241,,Facci vedere una foto di una persona anche che non conoscete che rappresenta per te la perfezione fisica,
242,,"Partendo da te in senso orario dovrete dire un sinonimo della parola ""prostituta"", finché un giocatore non ripeterà un sinonimo già detto o non avrà più idee e dovrà bere x1/2!",
243,,"Partendo da te in senso orario dovrete dire un sinonimo di ""fare sesso"", finché un giocatore non ripeterà un sinonimo già detto o non avrà più idee e dovrà bere x1/2!",
244,,"Estrai una carta da un mazzo di carte, essa sarà la carta di riferimento. Tutti gli altri giocatori ne pescano una a testa, se la carta che hanno estratto ha egual seme rispetto alla carta di riferimento bevono x1/2 se invece ha lo stesso valore bevono x1.  ",
245,,"Giochiamo a Tabù! Questa sfida la potrà leggere solamente il giocatore a cui è capitata questa sfida tutti gli altri distolgano lo sguardo! Fatto? Procediamo! Il giocatore interessato dovrà fare indovinare la parola scritta tra asterischi agli altri giocatori senza poter dire alcune parole sotto elencate tra cui ovviamente la parola stessa. Tutto questo in 15 secondi di tempo! Pronti? Via! * DONALD TRUMP * parole vietate: Presidente, Barak Obama, America, Stati Uniti, americani, statunitensi",
246,,"Giochiamo a Tabù! Questa sfida la potrà leggere solamente il giocatore a cui è capitata questa sfida tutti gli altri distolgano lo sguardo! Fatto? Procediamo! Il giocatore interessato dovrà fare indovinare la parola scritta tra asterischi agli altri giocatori senza poter dire alcune parole sotto elencate tra cui ovviamente la parola stessa. Tutto questo in 15 secondi di tempo! Pronti? Via! * BALENA * parole vietate: Cetaceo, Mare, Oceano, Mammifero, Grande, statunitensi",
247,,"Giochiamo a Tabù! Questa sfida la potrà leggere solamente il giocatore a cui è capitata questa sfida tutti gli altri distolgano lo sguardo! Fatto? Procediamo! Il giocatore interessato dovrà fare indovinare la parola scritta tra asterischi agli altri giocatori senza poter dire alcune parole sotto elencate tra cui ovviamente la parola stessa. Tutto questo in 15 secondi di tempo! Pronti? Via! * MONGOLFIERA * parole vietate: Volare, Cielo, Fiamma, Telo, Aria, Venti",
248,,"Giochiamo a Tabù! Questa sfida la potrà leggere solamente il giocatore a cui è capitata questa sfida tutti gli altri distolgano lo sguardo! Fatto? Procediamo! Il giocatore interessato dovrà fare indovinare la parola scritta tra asterischi agli altri giocatori senza poter dire alcune parole sotto elencate tra cui ovviamente la parola stessa. Tutto questo in 15 secondi di tempo! Pronti? Via! * POLO * parole vietate: Sport, Cavalli, Nord, Sud, Pinguini, Polare(/i)",
249,,"Giochiamo a Tabù! Questa sfida la potrà leggere solamente il giocatore a cui è capitata questa sfida tutti gli altri distolgano lo sguardo! Fatto? Procediamo! Il giocatore interessato dovrà fare indovinare la parola scritta tra asterischi agli altri giocatori senza poter dire alcune parole sotto elencate tra cui ovviamente la parola stessa. Tutto questo in 15 secondi di tempo! Pronti? Via! * COCCOLE * parole vietate: Baci, Abbracci, Carezze, Amore, Sesso, Bambino",
250,,"Giochiamo a Tabù! Questa sfida la potrà leggere solamente il giocatore a cui è capitata questa sfida tutti gli altri distolgano lo sguardo! Fatto? Procediamo! Il giocatore interessato dovrà fare indovinare la parola scritta tra asterischi agli altri giocatori senza poter dire alcune parole sotto elencate tra cui ovviamente la parola stessa. Tutto questo in 15 secondi di tempo! Pronti? Via! * ZANZARA * parole vietate: Ronzio, Insetto, Animale, Estate, Punge, Pungiglione",
251,,"Giochiamo a Tabù! Questa sfida la potrà leggere solamente il giocatore a cui è capitata questa sfida tutti gli altri distolgano lo sguardo! Fatto? Procediamo! Il giocatore interessato dovrà fare indovinare la parola scritta tra asterischi agli altri giocatori senza poter dire alcune parole sotto elencate tra cui ovviamente la parola stessa. Tutto questo in 15 secondi di tempo! Pronti? Via! * ESCORT * parole vietate: Prostituta, Puttana, Ford, donna, signora, ragazza",
252,,"Giochiamo a Tabù! Questa sfida la potrà leggere solamente il giocatore a cui è capitata questa sfida tutti gli altri distolgano lo sguardo! Fatto? Procediamo! Il giocatore interessato dovrà fare indovinare la parola scritta tra asterischi agli altri giocatori senza poter dire alcune parole sotto elencate tra cui ovviamente la parola stessa. Tutto questo in 15 secondi di tempo! Pronti? Via! * RIMINI * parole vietate: Italia, Mare, Italiana, Emilia Romagna, Discoteca, Città",
253,,"Giochiamo a Tabù! Questa sfida la potrà leggere solamente il giocatore a cui è capitata questa sfida tutti gli altri distolgano lo sguardo! Fatto? Procediamo! Il giocatore interessato dovrà fare indovinare la parola scritta tra asterischi agli altri giocatori senza poter dire alcune parole sotto elencate tra cui ovviamente la parola stessa. Tutto questo in 15 secondi di tempo! Pronti? Via! * TIMER * parole vietate: Orologio, Sveglia, Secondi, Misurazione, Minuti, lancetta",
254,,"Giochiamo a Tabù! Questa sfida la potrà leggere solamente il giocatore a cui è capitata questa sfida tutti gli altri distolgano lo sguardo! Fatto? Procediamo! Il giocatore interessato dovrà fare indovinare la parola scritta tra asterischi agli altri giocatori senza poter dire alcune parole sotto elencate tra cui ovviamente la parola stessa. Tutto questo in 15 secondi di tempo! Pronti? Via! * LICEALE * parole vietate: Studente, Liceo, Scuola, Istituto, Medie, Diploma, Superiore",
255,,"Partendo da te in senso orario dovrete dire un sinonimo della parola ""bagno"", finché un giocatore non ripeterà un sinonimo già detto o non avrà più idee e dovrà bere x1/2!",
256,,"Giocate tutti, si parte da te e si prosegue in ordine cronologico rispetto a come siete disposti. Scegli una lettera dell'alfabeto italiano (esempio ""f"") il giocatore successivo aggiunge un’altra lettera alla lettera precedente (esempio ""fi""), quello successivo un’altra e così via. Chi termina la parola (ad esempio ""fiacco"") e non sa come continuarla per formare un'altra parola (esempio ""fiaccolata""), ha perso e beve x1. Attenzione: è possibile chiedere la parola al giocatore precedente se si pensa che non esista la sequenza di lettere composta e se effettivamente il giocatore non lo sa o la parola non esiste nel dizionario italiano beve lui x1.",
257,,"Giocate tutti, si parte da te e si prosegue in ordine cronologico rispetto a come siete disposti. Inizi dicendo «Nello zaino metto…» e aggiungi un oggetto di tua scelta. Il giocatore successivo riprende la medesima frase ripetendo l’oggetto scelto da te e aggiungendone un altro. Il giocatore successivo ripete la frase aggiungendo gli oggetti scelti dai gli altri giocatori in ordine, e così via. Chi sbaglia o ripete un oggetto già scelto beve x1/2!",
258,,Mangia qualcosa senza usare le mani,
259,,Fai vedere che non sei ignorante! Recita tutta o una parte di poesia che sai a memoria...,
260,,"Scegli un oggetto! Gli altri giocatori hanno 20 domande in totale a cui dovrai rispondere ""sì"" o ""no"" per poter capire di cosa si tratta e provare a indovinare",
261,,"Scegli un oggetto che si potrebbe trovare facilmente in uno stadio! Gli altri giocatori hanno 20 domande in totale a cui dovrai rispondere ""sì"" o ""no"" per poter capire di cosa si tratta e provare a indovinare, se sbagliano a indovinare passate le 20 domande bevono x1!",
262,,"Scegli un oggetto che si potrebbe trovare sicuramente in un minimarket! Gli altri giocatori hanno 20 domande in totale a cui dovrai rispondere ""sì"" o ""no"" per poter capire di cosa si tratta e provare a indovinare, se sbagliano a indovinare passate le 20 domande bevono x1!",
263,,"Scegli un oggetto che si potrebbe trovare facilmente in una camera di un bebè! Gli altri giocatori hanno 20 domande in totale a cui dovrai rispondere ""sì"" o ""no"" per poter capire di cosa si tratta e provare a indovinare, se sbagliano a indovinare passate le 20 domande bevono x1!",
264,,"Scegli un oggetto che si potrebbe trovare facilmente in una cucina! Gli altri giocatori hanno 20 domande in totale a cui dovrai rispondere ""sì"" o ""no"" per poter capire di cosa si tratta e provare a indovinare, se sbagliano a indovinare passate le 20 domande bevono x1!",
265,,"Scegli un oggetto che si potrebbe trovare facilmente in una chiesa cattolica! Gli altri giocatori hanno 20 domande in totale a cui dovrai rispondere ""sì"" o ""no"" per poter capire di cosa si tratta e provare a indovinare, se sbagliano a indovinare passate le 20 domande bevono x1!",
266,,"Che fai te la rischi? Puoi bere x2 e nei soli prossimi 3 round se capita che dovrai fare qualcosa, potrai saltarlo! (Comprese le bevute!)",
267,,Che fai te la rischi? Puoi bere x2 adesso e se nei prossimi 5 round capita che dovrai bere non berrai (le sfide non sono esenti),
268,,Imita per 20 secondi il verso di un animale scelto dai giocatori,
269,,"Verità! Giocatore per giocatore raccontaci se andresti mai a convivere con lui/lei, e il motivo della tua scelta.",
270,,Chi non ha la patente beve x1! Se tutti avete la patente il giocatore più tardivo (a livello di età) beve x1!,
271,,Verità! Russi la notte?,
272,,Verità! Hai mai fatto il sunnanbolo?,
273,,"Verità! Non ti dovessi chiamare con il tuo nome, con quale nome vorresti essere chiamato?",
274,,Se avete animali in casa mangia mezzo cucchiaino del suo cibo oppure bevi x1!,
275,,Verità! Qual'è l'ultima cosa che hai rubato?,
276,,Verità! Qual'è l'ultima volta che hai fatto a botte con qualcuno?,
277,,Verità! Raccontaci un tuo sogno ricorrente o in alternativa il sogno più strano che hai fatto.,
278,,"Il prossimo giocatore che dice ""cioè"" dovrà bere x1!",
279,,"Il prossimo giocatore che dice ""purtroppo"" dovrà bere x1!",
280,,"Il prossimo giocatore che dirà ""così"" dovrà bere x1!",
281,,"Il prossimo giocatore che dirà ""sempre"" dovrà bere x1!",
282,,"Il prossimo giocatore che dirà ""quando"" dovrà bere x1!",
283,,"Il prossimo giocatore che dirà ""caldo"" o ""freddo"" dovrà bere x1!",
284,,"Se fa freddo esci in balcone così come sei e rimanici per 5 minuti, se fa caldo mettiti una coperta o un giubbotto e rimani così per 5 minuti.",
285,,Quanto te la rischi? Puoi scegliere se bere x1 per fare bere una persona che vuoi te x2!,
286,,Quanto te la rischi? Puoi scegliere se bere x1 per fare bere tutti i giocatori x1/2!,
287,,Devi chiudere assolutamente ora gli occhi! Fallo ora! Ora che hai gli occhi chiusi dicci che ore pensi che siano se sbagli per un massimo di 15 minuti non ti succede nulla se sbagli per più di 15 minuti bevi x1!,
288,,Il giocatore che in questo momento ha la gradazione alcolica più bassa nel proprio bicchiere beve x1! In caso di pareggio i giocatori con la gradazione alcolica più bassa bevono x1/2!,
289,,"Quali sono i punti erogeni che una persona con il tuo stesso sesso ha? Dinne 3, solo dopo averli detti prosegui la lettura. Fatto? Ne hai detti 3? Bene. Ora scegli randomicamente un giocatore del sesso opposto al tuo che dovrà baciare e accarezzare con le labbra ogni punto detto per 20 secondi ciascuno, puoi rifiutarti, ma per ogni punto erogeno a cui ti rifiuti bevi x2!",
290,,"Quali sono i punti erogeni che una persona con il tuo stesso sesso ha? Dinne 3, solo dopo averli detti prosegui la lettura. Fatto? Ne hai detti 3? Bene. Ora scegli randomicamente un giocatore del sesso opposto al tuo che dovrà toccare e accarezzare con le mani ogni punto detto per 30 secondi ciascuno, puoi rifiutarti, ma per ogni punto erogeno a cui ti rifiuti bevi x2!",
291,,Per i prossimi 3 turni tutti potete parlare solo con suoni onomatopeici che sentite solitamente nei cartoni animati senza parole,
292,,L'ultimo giocatore ad aver sboccato per colpa dell'alcool beve x1!,
293,,Imita 5 versi di animali,
294,,Imita 10 versi di animali,
295,,"Scegli un giocatore con cui giocare a questo gioco! Entrambi vi mettete dell'acqua in bocca senza deglutirla, mettete in riproduzione dei video divertenti presi da internet se ridete e quindi farete uscire dell'acqua dalla vostra bocca avete perso e bevete x1/2! Almeno 1 minuto di video divertenti!",
296,,Descrivi la tua immagine di profilo su WhatsApp per 1 minuto parlandone come fosse un quadro e tu fossi un critico d'arte.,
297,,Il/la proprietario/a di casa invita tutti a dormire da lui/lei per questa sera oppure beve x1! Se accetta di invitare tutti a dormire chi risponderà di no berrà x1 chi accetta è salvo!,
298,,Finché non berrai dovrai pronunciare anche la punteggiatura mentre parli,
299,,Finché non berrai dovrai parlare dicendo il contrario di quello che pensi,
300,,Al prossimo turno in cui ti verrà data la scelta tra fare una sfida e bere dovrai scegliere di fare la sfida! Segnatelo da qualche parte prima che te lo dimentichi,
301,,"Prendi una scopa e mettila in orizzontale dietro il tuo collo, appoggiaci le braccia e fattele schotcciare alla scopa. Rimani così per 8 turni cercando di risolvere le eventuali sfide. (Se una sfida è risulta impossibile da completare fatti aiutare da qualcuno o accantona la sfida e riprendila una volta finito l'obbligo)",
